source,target,relationship,followers,platform
antonsuby8622,indibiz,comment,1321,instagram
natgirl770,indibiz,comment,520,instagram
edbert.ivander,indibiz,comment,2272,instagram
inaya_sida29,indibiz,comment,218,instagram
fadhilatulfitria,indibiz,comment,908,instagram
fadhilatulfitria,indibiz,comment,908,instagram
mammihanifah,indibiz,comment,19,instagram
dini_afizah_01,indibiz,comment,162,instagram
amma_dzahabii,indibiz,comment,1578,instagram
tediprayogaaa,indibiz,comment,784,instagram
tediprayogaaa,indibiz,comment,784,instagram
tya.harum,indibiz,comment,630,instagram
arsyifah2017,indibiz,comment,27,instagram
khoirul_anamtatum,indibiz,comment,2970,instagram
khoirul_anamtatum,indibiz,comment,2970,instagram
khoirul_anamtatum,indibiz,comment,2970,instagram
abdul_latif1908,indibiz,comment,923,instagram
abdul_latif1908,indibiz,comment,923,instagram
abdul_latif1908,indibiz,comment,923,instagram
agus.purnomo18_18,indibiz,comment,228,instagram
rstiaprilly_,indibiz,comment,1628,instagram
riianmardani,indibiz,comment,659,instagram
riianmardani,indibiz,comment,659,instagram
ikal.wira132,indibiz,comment,90,instagram
denisaptri,indibiz,comment,7433,instagram
denisaptri,indibiz,comment,7433,instagram
denisaptri,indibiz,comment,7433,instagram
si__bona,indibiz,comment,472,instagram
evanandre97,indibiz,comment,816,instagram
lukman_hakim522,indibiz,comment,480,instagram
lukman_hakim522,indibiz,comment,480,instagram
ofi_adiii,indibiz,comment,935,instagram
dpr_ilham,indibiz,comment,0,instagram
yani_bundaahim18,indibiz,comment,2315,instagram
andriari21,indibiz,comment,1108,instagram
andriari21,indibiz,comment,1108,instagram
andriari21,indibiz,comment,1108,instagram
andriari21,indibiz,comment,1108,instagram
andriari21,indibiz,comment,1108,instagram
antonsuby8622,indibiz,comment,1321,instagram
ametheresias,indibiz,comment,526,instagram
tuanmudda00_,indibiz,comment,143,instagram
zuliatin_123,indibiz,comment,1305,instagram
zuliatin_123,indibiz,comment,1305,instagram
mom_azzarsy,indibiz,comment,64,instagram
mom_azzarsy,indibiz,comment,64,instagram
mom_azzarsy,indibiz,comment,64,instagram
tyana.hsb,indibiz,comment,5745,instagram
poetra_agamm,indibiz,comment,1118,instagram
deliana_1981,indibiz,comment,126,instagram
deliana_1981,indibiz,comment,126,instagram
its.kiimaa_,indibiz,comment,1328,instagram
wtiyas12,indibiz,comment,1627,instagram
callmeasep1,indibiz,comment,2299,instagram
callmeasep1,indibiz,comment,2299,instagram
callmeasep1,indibiz,comment,2299,instagram
