source,target,relationship,followers,platform
christinusd,@indihome,mention,0,twitter
telkomsel,@_alkausarr,mention,0,twitter
indihome,@aboutmrkk,mention,0,twitter
artins51,@thenmustslamet,mention,0,twitter
artins51,@kompascom,mention,0,twitter
artins51,@indihome,mention,0,twitter
indihome,@tanjirovanjiro,mention,0,twitter
indihome,@mhdraa_,mention,0,twitter
indihome,@altramilk,mention,0,twitter
iqbalandae,@indihome,mention,0,twitter
indihome,@https_101angie,mention,0,twitter
kumaragdr_,@indihome,mention,0,twitter
nadiah_della,@ayangnyakamuu_,mention,0,twitter
xwx_17,@indihome,mention,0,twitter
ahmdtybr,@indihome,mention,0,twitter
indihome,@jeonckddnjs,mention,0,twitter
retaypram,@indihome,mention,0,twitter
retaypram,@indihomecare,mention,0,twitter
indihome,@vipbyadit,mention,0,twitter
aku_unko,@indihome,mention,0,twitter
nezlase,@indihome,mention,0,twitter
dickikhs,@indihome,mention,0,twitter
telkomsel,@smixki,mention,0,twitter
dysq224499,@indihome,mention,0,twitter
hfzmln,@indihome,mention,0,twitter
justforvan_ka,@indihome,mention,0,twitter
pianritonga,@telkomsel,mention,0,twitter
pianritonga,@indihome,mention,0,twitter
pianritonga,@indihomecare,mention,0,twitter
sosisbasoo,@indihome,mention,0,twitter
seorxi,@indihome,mention,0,twitter
aphroditeeas,@indihome,mention,0,twitter
jooyeonniem,@anoymou964457,mention,0,twitter
jooyeonniem,@indihome,mention,0,twitter
jooyeonniem,@indihomecare,mention,0,twitter
yncros,@wisdom_hq,mention,0,twitter
indihome,@hesti_loyal,mention,0,twitter
